TransactionID,Item
TXB-0001,Highlighter
TXB-0001,Notebook
TXB-0001,Highlighter
TXB-0001,Protractor
TXB-0001,Pencil
TXB-0001,Folder
TXB-0001,Folder
TXB-0002,Paper Clips
TXB-0002,Highlighter
TXB-0002,Folder
TXB-0002,Compass
TXB-0002,Stapler
TXB-0003,Highlighter
TXB-0003,Pencil
TXB-0003,Folder
TXB-0003,Stapler
TXB-0003,Folder
TXB-0004,Highlighter
TXB-0004,Colored Pencils
TXB-0004,Pencil
TXB-0004,Notebook
TXB-0004,Folder
TXB-0004,Correction Tape
TXB-0004,Paper Clips
TXB-0004,Highlighter
TXB-0005,Pencil
TXB-0005,Pencil
TXB-0005,Sharpener
TXB-0005,Eraser
TXB-0005,Index Cards
TXB-0005,Protractor
TXB-0005,Highlighter
TXB-0006,Stapler
TXB-0006,Highlighter
TXB-0006,Sharpener
TXB-0006,Folder
TXB-0006,Sticky Notes
TXB-0006,Index Cards
TXB-0006,Colored Pencils
TXB-0006,Eraser
TXB-0007,Notebook
TXB-0007,Pencil
TXB-0007,Correction Tape
TXB-0007,Pencil
TXB-0007,Eraser
TXB-0007,Highlighter
TXB-0007,Highlighter
TXB-0007,Sticky Notes
TXB-0007,Notebook
TXB-0007,Colored Pencils
TXB-0008,Pencil
TXB-0008,Paper Clips
TXB-0008,Colored Pencils
TXB-0008,Highlighter
TXB-0008,Index Cards
TXB-0008,Notebook
TXB-0008,Pencil
TXB-0008,Stapler
TXB-0009,Paper Clips
TXB-0009,Index Cards
TXB-0009,Folder
TXB-0009,Notebook
TXB-0009,Folder
TXB-0009,Colored Pencils
TXB-0009,Notebook
TXB-0009,Pencil
TXB-0009,Sticky Notes
TXB-0009,Highlighter
TXB-0010,Notebook
TXB-0010,Notebook
TXB-0010,Highlighter
TXB-0010,Folder
TXB-0010,Folder
TXB-0010,Protractor
TXB-0010,Pencil
TXB-0010,Eraser
TXB-0010,Colored Pencils
TXB-0011,Compass
TXB-0011,Highlighter
TXB-0011,Eraser
TXB-0011,Folder
TXB-0011,Notebook
TXB-0011,Protractor
TXB-0011,Pencil
TXB-0011,Colored Pencils
TXB-0011,Pencil
TXB-0012,Highlighter
TXB-0012,Folder
TXB-0012,Correction Tape
TXB-0012,Notebook
TXB-0012,Sharpener
TXB-0012,Stapler
TXB-0013,Pencil
TXB-0013,Folder
TXB-0013,Sharpener
TXB-0013,Notebook
TXB-0013,Stapler
TXB-0013,Sticky Notes
TXB-0013,Compass
TXB-0013,Highlighter
TXB-0013,Highlighter
TXB-0014,Highlighter
TXB-0014,Correction Tape
TXB-0014,Compass
TXB-0014,Notebook
TXB-0014,Stapler
TXB-0014,Folder
TXB-0014,Eraser
TXB-0014,Highlighter
TXB-0014,Protractor
TXB-0015,Highlighter
TXB-0015,Index Cards
TXB-0015,Compass
TXB-0015,Folder
TXB-0015,Stapler
TXB-0016,Notebook
TXB-0016,Correction Tape
TXB-0016,Sticky Notes
TXB-0016,Highlighter
TXB-0016,Pencil
TXB-0016,Notebook
TXB-0016,Folder
TXB-0017,Colored Pencils
TXB-0017,Notebook
TXB-0017,Correction Tape
TXB-0017,Notebook
TXB-0018,Stapler
TXB-0018,Folder
TXB-0018,Sticky Notes
TXB-0018,Pencil
TXB-0018,Correction Tape
TXB-0018,Colored Pencils
TXB-0018,Protractor
TXB-0019,Colored Pencils
TXB-0019,Pencil
TXB-0019,Folder
TXB-0019,Sticky Notes
TXB-0019,Notebook
TXB-0020,Highlighter
TXB-0020,Folder
TXB-0020,Sharpener
TXB-0021,Pencil
TXB-0021,Notebook
TXB-0021,Paper Clips
TXB-0021,Pencil
TXB-0021,Highlighter
TXB-0021,Sticky Notes
TXB-0021,Compass
TXB-0021,Stapler
TXB-0022,Correction Tape
TXB-0022,Protractor
TXB-0022,Eraser
TXB-0022,Stapler
TXB-0022,Highlighter
TXB-0023,Pencil
TXB-0023,Stapler
TXB-0023,Compass
TXB-0023,Pencil
TXB-0023,Correction Tape
