TransactionID,Item
TXC-0001,Ballpen
TXC-0001,Permanent Marker
TXC-0001,Staple Wire
TXC-0001,Gel Pen
TXC-0002,Index Cards
TXC-0002,Clearbook
TXC-0002,Geometry Set
TXC-0002,Whiteboard Marker
TXC-0002,Sharpener
TXC-0003,Index Cards
TXC-0003,Ballpen Ink Refill
TXC-0003,Art Paper
TXC-0004,Scotch Tape
TXC-0004,Permanent Marker
TXC-0004,Correction Tape
TXC-0004,Stapler
TXC-0004,Art Paper
TXC-0005,Sharpener
TXC-0005,Pencil Case
TXC-0005,Eraser
TXC-0005,Yellow Pad
TXC-0005,Art Paper
TXC-0005,Plastic Envelope
TXC-0005,Bond Paper
TXC-0005,Binder
TXC-0006,Glue Stick
TXC-0006,Pencil Case
TXC-0006,Watercolor Set
TXC-0007,Sticky Notes
TXC-0007,Ruler
TXC-0007,Ballpen
TXC-0007,Double-Sided Tape
TXC-0007,Watercolor Set
TXC-0008,Pencil Case
TXC-0008,Eraser
TXC-0008,Ballpen Ink Refill
TXC-0008,Puncher
TXC-0008,Mechanical Pencil
TXC-0008,Ballpen
TXC-0009,Crayon Set
TXC-0009,Gel Pen
TXC-0009,Stapler
TXC-0009,Ballpen
TXC-0010,Sharpener
TXC-0010,Yellow Pad
TXC-0010,Gel Pen
TXC-0010,Art Paper
TXC-0011,Eraser
TXC-0011,Pencil Case
TXC-0011,Ballpen Ink Refill
TXC-0011,Permanent Marker
TXC-0011,Binder
TXC-0012,Ballpen Ink Refill
TXC-0012,Puncher
TXC-0012,Watercolor Set
TXC-0013,Folder
TXC-0013,Staple Wire
TXC-0013,Geometry Set
TXC-0013,Gel Pen
TXC-0013,Calculator
TXC-0013,Binder
TXC-0014,Compass
TXC-0014,Graphing Paper
TXC-0014,Scissors
TXC-0014,Art Paper
TXC-0014,Permanent Marker
TXC-0015,Ruler
TXC-0015,Scotch Tape
TXC-0016,Sharpener
TXC-0016,Sticky Notes
TXC-0016,Ballpen
TXC-0016,Scotch Tape
TXC-0017,Sharpener
TXC-0017,Correction Tape
TXC-0017,Pencil
TXC-0017,Eraser
TXC-0017,Ballpen Ink Refill
TXC-0017,Geometry Set
TXC-0018,Index Cards
TXC-0018,Pencil Case
TXC-0018,Correction Tape
TXC-0018,Compass
TXC-0018,Staple Wire
TXC-0019,Sharpener
TXC-0019,Double-Sided Tape
TXC-0019,Binder
TXC-0020,Watercolor Set
TXC-0020,Scissors
TXC-0020,Folder
TXC-0020,Pencil
TXC-0020,Binder
TXC-0021,Eraser
TXC-0021,Permanent Marker
TXC-0021,Staple Wire
TXC-0022,Highlighter
TXC-0022,Gel Pen
TXC-0022,Staple Wire
TXC-0022,Mechanical Pencil
TXC-0022,Puncher
TXC-0022,Yellow Pad
TXC-0022,Stapler
TXC-0022,Calculator
TXC-0023,Ballpen
TXC-0023,Graphing Paper
TXC-0023,Sticky Notes
TXC-0024,Notebook
TXC-0024,Crayon Set
TXC-0024,Pencil Case
TXC-0025,Pencil
TXC-0025,Yellow Pad
TXC-0025,Double-Sided Tape
TXC-0026,Scissors
TXC-0026,Sharpener
TXC-0026,Mechanical Pencil
TXC-0026,Puncher
TXC-0027,Sharpener
TXC-0027,Ruler
TXC-0027,Paper Clips
TXC-0027,Gel Pen
TXC-0027,Puncher
TXC-0028,Yellow Pad
TXC-0028,Permanent Marker
TXC-0028,Sharpener
TXC-0028,Ballpen
TXC-0028,Calculator
