antecedent,consequent,support_count,support,confidence,lift,leverage,conviction,score,dataset
Correction Tape,Pencil Case,99,0.0825,0.4194915254237288,1.089588377723971,0.0067833333333333,1.0594160583941603,0.8034,A
Highlighter,Pencil Case,125,0.1041666666666666,0.3968253968253968,1.030715316429602,0.0031041666666666,1.019605263157895,0.7736,A
Notebook,Pencil,129,0.1075,0.3524590163934426,1.0653673039600282,0.0065958333333333,1.033396624472574,0.7587,A
Watercolor Set,Notebook,55,0.0458333333333333,0.3666666666666666,1.2021857923497268,0.0077083333333333,1.0973684210526318,0.754,A
Notebook,Pencil Case,140,0.1166666666666666,0.3825136612021858,0.9935419771485344,-0.0007583333333333,0.9959734513274336,0.752,A
Pencil,Notebook,129,0.1075,0.3249370277078086,1.0653673039600282,0.0065958333333333,1.0295335820895524,0.7251,A
"Eraser, Highlighter",Pencil Case,40,0.0333333333333333,0.4301075268817204,1.1171624074849882,0.0034958333333333,1.0791509433962263,0.7246,A
Colored Pencils,Pencil Case,97,0.0808333333333333,0.3927125506072874,1.0200325989799677,0.0015874999999999,1.0127000000000002,0.7034,A
Crayon Set,Notebook,74,0.0616666666666666,0.3441860465116279,1.128478841021731,0.0070208333333333,1.0597517730496455,0.6971,A
Index Cards,Pencil,60,0.05,0.3703703703703703,1.119507416736636,0.0053375,1.0627941176470588,0.6933,A
Folder,Notebook,87,0.0725,0.3359073359073359,1.1013355275650358,0.0066708333333333,1.0465406976744187,0.688,A
Index Cards,Pencil Case,65,0.0541666666666666,0.4012345679012346,1.0421677088343757,0.0021916666666666,1.0271134020618558,0.6706,A
Glue Stick,Notebook,85,0.0708333333333333,0.33203125,1.0886270491803278,0.0057666666666666,1.04046783625731,0.6678,A
Scissors,Pencil,83,0.0691666666666666,0.350210970464135,1.058572202914262,0.0038270833333333,1.0298214285714284,0.6587,A
Ruler,Pencil Case,118,0.0983333333333333,0.367601246105919,0.9548084314439454,-0.0046541666666666,0.972487684729064,0.6549,A
Pencil Case,Notebook,140,0.1166666666666666,0.303030303030303,0.9935419771485344,-0.0007583333333333,0.9971739130434782,0.6547,A
"Eraser, Pencil Case",Highlighter,40,0.0333333333333333,0.3125,1.1904761904761905,0.0053333333333333,1.0727272727272728,0.6474,A
Paper Clips,Notebook,41,0.0341666666666666,0.3474576271186441,1.1392053348152265,0.004175,1.065064935064935,0.6455,A
Pencil,Pencil Case,140,0.1166666666666666,0.3526448362720403,0.9159606136936111,-0.0107041666666666,0.9500194552529182,0.6448,A
Folder,Pencil Case,97,0.0808333333333333,0.3745173745173745,0.9727724013438298,-0.0022625,0.9832407407407406,0.6381,A
