antecedent,consequent,support_count,support,confidence,lift,leverage,conviction,score,dataset
Staple Wire,Ballpen,224,0.1866666666666666,0.5125858123569794,1.1327863256507833,0.0218812499999999,1.123274647887324,0.9276,B
Gel Pen,Ballpen,231,0.1925,0.4925373134328358,1.0884802506803002,0.0156479166666666,1.0788970588235294,0.8389,B
Calculator,Gel Pen,191,0.1591666666666666,0.4462616822429907,1.141820935376522,0.0197694444444444,1.100098452883263,0.7896,B
Ballpen,Staple Wire,224,0.1866666666666666,0.4125230202578269,1.132786325650783,0.0218812499999999,1.0823119122257052,0.7867,B
Whiteboard Marker,Ballpen,203,0.1691666666666666,0.4915254237288136,1.0862440303399197,0.0134312499999999,1.07675,0.7834,B
Clearbook,Bond Paper,190,0.1583333333333333,0.4449648711943794,1.1194084809921494,0.0168895833333333,1.085516877637131,0.7491,B
Ballpen Ink Refill,Ballpen,172,0.1433333333333333,0.4956772334293948,1.0954193003964523,0.0124854166666666,1.085614285714286,0.7485,B
Ballpen,Gel Pen,231,0.1925,0.425414364640884,1.0884802506803002,0.0156479166666666,1.0601842948717948,0.7445,B
Gel Pen,Calculator,191,0.1591666666666666,0.4072494669509595,1.141820935376522,0.0197694444444444,1.085335731414868,0.7347,B
Gel Pen,Bond Paper,205,0.1708333333333333,0.4371002132196162,1.0996231779109842,0.0154770833333333,1.070350378787879,0.7324,B
Calculator,Ballpen,205,0.1708333333333333,0.4789719626168224,1.0585015748438065,0.0094416666666666,1.0508071748878924,0.7236,B
Bond Paper,Gel Pen,205,0.1708333333333333,0.429769392033543,1.0996231779109842,0.0154770833333333,1.06828125,0.7221,B
Yellow Pad,Ballpen,170,0.1416666666666666,0.4885057471264368,1.0795707118816282,0.0104416666666666,1.0703932584269662,0.7086,B
Scotch Tape,Staple Wire,129,0.1075,0.4257425742574257,1.1690871604322903,0.0155479166666666,1.1072270114942526,0.694,B
Bond Paper,Ballpen,222,0.185,0.4654088050314465,1.0285277459258486,0.0051312499999999,1.0241470588235293,0.6857,B
Bond Paper,Clearbook,190,0.1583333333333333,0.3983228511530398,1.1194084809921494,0.0168895833333333,1.070618466898955,0.6834,B
Staple Wire,Binder,191,0.1591666666666666,0.4370709382151029,1.0791875017656862,0.0116791666666666,1.056971544715447,0.6735,B
Geometry Set,Bond Paper,169,0.1408333333333333,0.4366925064599483,1.0985975005281718,0.0126395833333333,1.0695756880733944,0.6653,B
Permanent Marker,Ballpen,160,0.1333333333333333,0.4833836858006042,1.068251239338352,0.00851875,1.059780701754386,0.6648,B
Geometry Set,Gel Pen,166,0.1383333333333333,0.4289405684754522,1.097502520619494,0.0122895833333333,1.066730769230769,0.6472,B
